Epoch,Loss,Accuracy
0,0.4264097772538662,3.1359375
1,0.40880477242171764,3.134375
2,0.390472250059247,3.134375
3,0.37144976668059826,3.1375
4,0.35666437447071075,3.1453125
5,0.34088626876473427,3.15
6,0.32673897966742516,3.1546875
7,0.31279126182198524,3.15625
8,0.3006166312843561,3.15625
9,0.2908722534775734,3.15625
10,0.28307521902024746,3.15625
11,0.27641260251402855,3.15625
12,0.27068502455949783,3.15625
13,0.2667044885456562,3.15625
14,0.26403744146227837,3.15625
15,0.26167730800807476,3.15625
16,0.2602411899715662,3.15625
17,0.2584139620885253,3.15625
18,0.2576220063492656,3.15625
19,0.25657870061695576,3.15625
20,0.25600279308855534,3.15625
21,0.25546592473983765,3.15625
22,0.25495676044374704,3.15625
23,0.2546696187928319,3.15625
24,0.2543911663815379,3.15625
25,0.25383688416332006,3.15625
26,0.2537307860329747,3.15625
27,0.25308964028954506,3.15625
28,0.2533440375700593,3.15625
29,0.2530929399654269,3.15625
30,0.25286088231951,3.15625
31,0.25265693943947554,3.15625
32,0.2525103194639087,3.15625
33,0.2521602623164654,3.15625
34,0.2517774775624275,3.15625
35,0.25153080374002457,3.15625
36,0.2515562158077955,3.15625
37,0.2512005716562271,3.15625
38,0.25111985579133034,3.15625
39,0.2511072736233473,3.15625
40,0.2511323168873787,3.15625
41,0.25090261828154325,3.15625
42,0.25077159982174635,3.15625
43,0.25053102243691683,3.15625
44,0.2505111340433359,3.15625
45,0.2502637133002281,3.15625
46,0.2501035965979099,3.15625
47,0.2501733237877488,3.15625
48,0.2503081485629082,3.15625
49,0.2500742934644222,3.15625
50,0.24979635793715715,3.15625
51,0.24995120987296104,3.15625
52,0.24977563973516226,3.15625
53,0.2493143081665039,3.15625
54,0.24917446821928024,3.15625
55,0.24933708552271128,3.15625
56,0.24924505036324263,3.15625
57,0.24917513318359852,3.15625
58,0.2491011405363679,3.15625
59,0.2489195503294468,3.15625
60,0.24880392011255026,3.15625
61,0.24904895294457674,3.15625
62,0.24874039832502604,3.15625
63,0.24874705635011196,3.15625
64,0.24861197732388973,3.15625
65,0.24872263241559267,3.15625
66,0.24854135885834694,3.15625
67,0.2482416294515133,3.15625
68,0.24817542731761932,3.15625
69,0.24829924665391445,3.15625
70,0.24796952214092016,3.15625
71,0.24792762752622366,3.15625
72,0.247809917666018,3.15625
73,0.24769811052829027,3.15625
74,0.24755685683339834,3.15625
75,0.24767788778990507,3.15625
76,0.24753220938146114,3.15625
77,0.2477080151438713,3.15625
78,0.24765436071902514,3.15625
79,0.24737367499619722,3.15625
80,0.24705574847757816,3.15625
81,0.2472303668037057,3.15625
82,0.24694795534014702,3.15625
83,0.24702763464301825,3.15625
84,0.24686772003769875,3.15625
85,0.24674955662339926,3.15625
86,0.24678911361843348,3.15625
87,0.24658005498349667,3.15625
88,0.24635580461472273,3.15625
89,0.24632922373712063,3.15625
90,0.2463483838364482,3.15625
91,0.24626894854009151,3.15625
92,0.24611001834273338,3.15625
93,0.24617961514741182,3.15625
94,0.24612985085695982,3.15625
95,0.24616716988384724,3.15625
96,0.24583681765943766,3.15625
97,0.24574933666735888,3.15625
98,0.24560364987701178,3.15625
99,0.2458625379949808,3.15625
100,0.24573049694299698,3.15625
101,0.2456790655851364,3.15625
102,0.2457110658288002,3.15625
103,0.24548944272100925,3.15625
104,0.24540118407458067,3.15625
105,0.24522906821221113,3.15625
106,0.24533424526453018,3.15625
107,0.245098820887506,3.15625
108,0.2448563063517213,3.15625
109,0.24506132677197456,3.15625
110,0.24496567994356155,3.15625
111,0.24498950596898794,3.15625
112,0.24478774145245552,3.15625
113,0.24479376897215843,3.15625
114,0.2446472141891718,3.15625
115,0.24446913413703442,3.15625
116,0.24457635823637247,3.15625
117,0.24455917812883854,3.15625
118,0.24448365904390812,3.15625
119,0.24449336621910334,3.15625
120,0.2442645626142621,3.15625
121,0.24414835311472416,3.15625
122,0.24425135925412178,3.15625
123,0.2442012708634138,3.15625
124,0.24387090373784304,3.15625
125,0.24396868329495192,3.15625
126,0.24395724013447762,3.15625
127,0.2440158138051629,3.15625
128,0.2436535842716694,3.15625
129,0.24393043760210276,3.15625
130,0.24368517566472292,3.15625
131,0.24355687573552132,3.15625
132,0.24343841895461082,3.15625
133,0.24334869906306267,3.15625
134,0.24305569007992744,3.15625
135,0.24349027127027512,3.15625
136,0.24328378681093454,3.15625
137,0.2432246133685112,3.15625
138,0.24303340911865234,3.15625
139,0.24301658757030964,3.15625
140,0.24290462490171194,3.15625
141,0.24281133152544498,3.15625
142,0.24286635220050812,3.15625
143,0.24292534962296486,3.15625
144,0.24272567313164473,3.15625
145,0.242638124153018,3.15625
146,0.2426346680149436,3.15625
147,0.2423914484679699,3.15625
148,0.24228164367377758,3.15625
149,0.24258773680776358,3.15625
150,0.24263945966959,3.15625
151,0.242179443128407,3.15625
152,0.24223930854350328,3.15625
153,0.2421361394226551,3.15625
154,0.24210958275943995,3.15625
155,0.24197371024638414,3.15625
156,0.24200984556227922,3.15625
